~~~~~~~~~~ FINAL PARAM VALUES ~~~~~~~~~~
config-filename: config-files/evolve-entrance-positions-4-rows-with-energetics.cfg
env-width: 650
env-height: 800
tunnel-width: 450
tunnel-height: 600
tunnel-x: 100
tunnel-y: 100
flower-initial-nectar: 100
num-bees: 100
bee-max-dir-delta: 0.5
bee-step-length: 15
bee-path-record-len: 0
bee-visual-range: 11
bee-visit-memory-length: 5
bee-prob-visit-nearest-flower: 0.8
bee-forage-duration: 1000
bee-in-hive-duration: 200
bee-initial-energy: 500
bee-energy-depletion-per-step: 1
bee-energy-boost-per-flower: 10
bee-on-flower-duration: 3
bee-energy-min-threshold: 0
bee-energy-max-threshold: 750
num-iterations: 1000
evolve: true
num-trials-per-config: 150
num-configs-per-gen: 100
num-generations: 50
target-heatmap-filename: target-heatmaps/target-heatmap-13x16-4-rows.csv
heatmap-cell-size: 50
visualise: false
vis-cell-size: 1
vis-delay-per-step: 0
vis-bee-path-draw-len: 250
logging: true
log-dir: output
log-filename-prefix: evolve-entrance-positions-4-rows-with-energetics
rng-seed: 4NfabZuAwDTcBNR1wJyB
command-line-quiet: false
Hives:
hive1: (325,750):0
Tunnel Entrances:
(none)
Plant Patches:
patch1: (150,150,50,500):10:0.1:1:4:(100,0)
~~~~~~~~~~
INFO: Initial EMD between uniform target and anti-target heatmaps: 13.499981
INFO: Config output written to file: output/evolve-entrance-positions-4-rows-with-energetics-config-20260107-112007-786c17.cfg
~~~~~~~~~~
INFO: Gen 0 eval_ctr 150 config_num 0: entrances e1:24.631023,124.63103:0 e2:65.23475,165.23474:2 e3:195.54483,295.54483:1 e4:54.727768,154.72777:2, medianEMD 3.5513
INFO: Gen 0 eval_ctr 300 config_num 1: entrances e1:230.99577,330.9958:2 e2:120.19623,220.19623:3 e3:307.56836,407.56836:2 e4:446.8809,546.88086:1, medianEMD 3.7901
INFO: Gen 0 eval_ctr 450 config_num 2: entrances e1:141.05486,241.05486:1 e2:32.211132,132.21114:3 e3:304.38998,404.38998:2 e4:135.51384,235.51384:2, medianEMD 3.8881
INFO: Gen 0 eval_ctr 600 config_num 3: entrances e1:399.41772,499.41772:1 e2:172.27176,272.27176:1 e3:98.62727,198.62727:3 e4:218.24333,318.24335:2, medianEMD 3.7352
INFO: Gen 0 eval_ctr 750 config_num 4: entrances e1:93.55733,193.55733:0 e2:202.73,302.72998:0 e3:412.61404,512.614:3 e4:234.25706,334.25708:2, medianEMD 3.6565
INFO: Gen 0 eval_ctr 900 config_num 5: entrances e1:248.20862,348.20862:3 e2:141.83481,241.83481:1 e3:407.85284,507.85284:3 e4:37.731407,137.73141:1, medianEMD 3.2192
INFO: Gen 0 eval_ctr 1050 config_num 6: entrances e1:141.83208,241.83208:2 e2:43.466583,143.46658:1 e3:37.73738,137.73738:0 e4:261.70743,361.70743:1, medianEMD 3.9237
INFO: Gen 0 eval_ctr 1200 config_num 7: entrances e1:57.134212,157.13422:0 e2:222.27968,322.27966:0 e3:19.426546,119.426544:2 e4:206.21033,306.21033:0, medianEMD 3.6807
INFO: Gen 0 eval_ctr 1350 config_num 8: entrances e1:132.77031,232.77031:3 e2:270.47717,370.47717:0 e3:480.3903,580.39026:3 e4:67.89778,167.89778:3, medianEMD 3.5118
INFO: Gen 0 eval_ctr 1500 config_num 9: entrances e1:76.93443,176.93443:1 e2:164.52292,264.52292:3 e3:282.16916,382.16916:1 e4:79.298454,179.29846:1, medianEMD 3.1421
INFO: Gen 0 eval_ctr 1650 config_num 10: entrances e1:47.821354,147.82135:0 e2:129.29495,229.29495:0 e3:222.14984,322.14984:3 e4:296.39844,396.39844:1, medianEMD 3.2098
INFO: Gen 0 eval_ctr 1800 config_num 11: entrances e1:373.346,473.346:1 e2:12.083722,112.083725:1 e3:24.726585,124.726585:0 e4:349.61072,449.61072:1, medianEMD 3.5302
INFO: Gen 0 eval_ctr 1950 config_num 12: entrances e1:69.098724,169.09872:3 e2:10.42665,110.42665:0 e3:149.32716,249.32716:0 e4:392.47052,492.47052:3, medianEMD 3.5678
INFO: Gen 0 eval_ctr 2100 config_num 13: entrances e1:338.0492,438.0492:2 e2:118.76684,218.76685:0 e3:492.29404,592.29407:3 e4:424.4243,524.4243:3, medianEMD 3.9158
INFO: Gen 0 eval_ctr 2250 config_num 14: entrances e1:98.13167,198.13167:2 e2:223.07434,323.07434:0 e3:129.01598,229.01598:2 e4:299.3595,399.3595:3, medianEMD 3.9015
INFO: Gen 0 eval_ctr 2400 config_num 15: entrances e1:59.27193,159.27193:2 e2:395.24393,495.24393:1 e3:295.42667,395.42667:2 e4:159.08899,259.089:0, medianEMD 3.8841
INFO: Gen 0 eval_ctr 2550 config_num 16: entrances e1:229.84648,329.8465:1 e2:399.9528,499.9528:3 e3:37.200924,137.20093:2 e4:160.79677,260.79675:3, medianEMD 3.5534
INFO: Gen 0 eval_ctr 2700 config_num 17: entrances e1:250.297,350.297:0 e2:318.32315,418.32315:2 e3:309.34738,409.34738:3 e4:218.66443,318.66443:3, medianEMD 3.4779
INFO: Gen 0 eval_ctr 2850 config_num 18: entrances e1:354.89032,454.89032:1 e2:21.432299,121.4323:3 e3:12.536314,112.536316:3 e4:278.80524,378.80524:2, medianEMD 3.6826
INFO: Gen 0 eval_ctr 3000 config_num 19: entrances e1:290.6835,390.6835:0 e2:65.77328,165.77328:0 e3:37.89743,137.89743:3 e4:6.0581155,106.05811:0, medianEMD 3.7006
INFO: Gen 0 eval_ctr 3150 config_num 20: entrances e1:444.59067,544.5907:3 e2:80.700455,180.70045:1 e3:143.40096,243.40096:2 e4:487.53857,587.5386:1, medianEMD 4.0580
INFO: Gen 0 eval_ctr 3300 config_num 21: entrances e1:120.83792,220.83792:3 e2:119.68528,219.68527:3 e3:310.1507,410.1507:2 e4:133.73367,233.73367:0, medianEMD 3.5993
INFO: Gen 0 eval_ctr 3450 config_num 22: entrances e1:100.38146,200.38147:1 e2:157.9497,257.9497:3 e3:107.24839,207.24838:3 e4:428.3202,528.3202:1, medianEMD 3.2404
INFO: Gen 0 eval_ctr 3600 config_num 23: entrances e1:270.4236,370.4236:2 e2:281.9193,381.9193:2 e3:300.61105,400.61105:2 e4:302.90115,402.90115:0, medianEMD 4.1704
INFO: Gen 0 eval_ctr 3750 config_num 24: entrances e1:152.33282,252.33282:1 e2:35.41426,135.41426:2 e3:34.63881,134.63881:0 e4:130.13097,230.13097:2, medianEMD 3.7601
INFO: Gen 0 eval_ctr 3900 config_num 25: entrances e1:481.44357,581.4436:3 e2:220.3508,320.3508:0 e3:213.12335,313.12335:0 e4:247.48509,347.4851:0, medianEMD 3.9502
INFO: Gen 0 eval_ctr 4050 config_num 26: entrances e1:84.136696,184.13669:1 e2:272.21323,372.21323:2 e3:124.50136,224.50136:2 e4:76.56097,176.56097:1, medianEMD 3.9274
INFO: Gen 0 eval_ctr 4200 config_num 27: entrances e1:214.50943,314.50943:2 e2:6.9867854,106.986786:2 e3:499.33212,599.33215:3 e4:223.44232,323.44232:2, medianEMD 4.3345
INFO: Gen 0 eval_ctr 4350 config_num 28: entrances e1:168.97058,268.97058:2 e2:454.83167,554.83167:1 e3:328.98096,428.98096:2 e4:180.35233,280.35233:1, medianEMD 4.2516
INFO: Gen 0 eval_ctr 4500 config_num 29: entrances e1:273.22488,373.22488:0 e2:241.23305,341.23303:0 e3:90.66054,190.66054:2 e4:50.591206,150.5912:3, medianEMD 3.5542
INFO: Gen 0 eval_ctr 4650 config_num 30: entrances e1:390.28485,490.28485:1 e2:58.93495,158.93495:2 e3:211.81389,311.8139:2 e4:273.82452,373.82452:2, medianEMD 4.2708
INFO: Gen 0 eval_ctr 4800 config_num 31: entrances e1:216.40971,316.40973:3 e2:253.62436,353.62436:0 e3:88.92902,188.92902:0 e4:222.29494,322.29492:0, medianEMD 3.3933
INFO: Gen 0 eval_ctr 4950 config_num 32: entrances e1:12.581025,112.581024:3 e2:8.633982,108.63398:3 e3:117.646835,217.64684:2 e4:272.4955,372.4955:2, medianEMD 3.9466
INFO: Gen 0 eval_ctr 5100 config_num 33: entrances e1:324.8655,424.8655:0 e2:338.06964,438.06964:2 e3:339.58145,439.58145:3 e4:86.926704,186.9267:1, medianEMD 3.5492
INFO: Gen 0 eval_ctr 5250 config_num 34: entrances e1:95.37013,195.37013:1 e2:31.037157,131.03716:0 e3:303.27798,403.27798:2 e4:449.7334,549.7334:3, medianEMD 3.5494
INFO: Gen 0 eval_ctr 5400 config_num 35: entrances e1:38.910065,138.91006:3 e2:40.572083,140.57208:1 e3:112.47219,212.4722:2 e4:213.87466,313.87466:3, medianEMD 3.3382
INFO: Gen 0 eval_ctr 5550 config_num 36: entrances e1:439.32968,539.3297:1 e2:60.193867,160.19386:3 e3:260.5256,360.5256:2 e4:206.9482,306.94818:2, medianEMD 4.0529
INFO: Gen 0 eval_ctr 5700 config_num 37: entrances e1:234.154,334.154:3 e2:284.03558,384.03558:2 e3:81.04421,181.04422:2 e4:259.55545,359.55545:3, medianEMD 4.0000
INFO: Gen 0 eval_ctr 5850 config_num 38: entrances e1:147.2424,247.2424:0 e2:38.554348,138.55435:1 e3:243.9748,343.9748:1 e4:238.51562,338.51562:0, medianEMD 3.4059
INFO: Gen 0 eval_ctr 6000 config_num 39: entrances e1:472.75735,572.7573:3 e2:338.1921,438.1921:3 e3:372.2858,472.2858:1 e4:392.12134,492.12134:1, medianEMD 4.0846
