~~~~~~~~~~ FINAL PARAM VALUES ~~~~~~~~~~
config-filename: config-files/evolve-entrance-positions-4-rows-with-energetics.cfg
env-width: 650
env-height: 800
tunnel-width: 450
tunnel-height: 600
tunnel-x: 100
tunnel-y: 100
flower-initial-nectar: 100
num-bees: 100
bee-max-dir-delta: 0.5
bee-step-length: 15
bee-path-record-len: 0
bee-visual-range: 11
bee-visit-memory-length: 5
bee-prob-visit-nearest-flower: 0.8
bee-forage-duration: 1000
bee-in-hive-duration: 200
bee-initial-energy: 500
bee-energy-depletion-per-step: 1
bee-energy-boost-per-flower: 10
bee-num-steps-on-flower: 3
bee-energy-min-threshold: 0
bee-energy-max-threshold: 750
num-iterations: 1000
evolve: true
num-trials-per-config: 150
num-configs-per-gen: 100
num-generations: 50
target-heatmap-filename: target-heatmaps/target-heatmap-13x16-4-rows.csv
heatmap-cell-size: 50
visualise: false
vis-cell-size: 1
vis-delay-per-step: 0
vis-bee-path-draw-len: 250
logging: true
log-dir: output
log-filename-prefix: evolve-entrance-positions-4-rows-with-energetics
rng-seed: TcnqAFDkrAJBiRPmPmhC
command-line-quiet: false
Hives:
hive1: (325,750):0
Tunnel Entrances:
(none)
Plant Patches:
patch1: (150,150,50,500):10:0.1:1:4:(100,0)
~~~~~~~~~~
INFO: Initial EMD between uniform target and anti-target heatmaps: 13.499981
INFO: Config output written to file: output/evolve-entrance-positions-4-rows-with-energetics-config-20251211-154318-01e01f.cfg
~~~~~~~~~~
INFO: Gen 0 eval_ctr 3750 config_num 24: entrances e1:59.871925,159.87192:0 e2:102.79954,202.79953:2 e3:392.52945,492.52945:1 e4:36.70132,136.70132:0, meanEMD 3.8286
INFO: Gen 0 eval_ctr 3900 config_num 25: entrances e1:9.393511,109.39351:3 e2:464.47888,564.4789:1 e3:27.821787,127.821785:3 e4:343.4126,443.4126:0, meanEMD 3.6234
INFO: Gen 0 eval_ctr 4050 config_num 26: entrances e1:19.03661,119.036606:0 e2:29.906145,129.90614:0 e3:220.16322,320.1632:3 e4:260.29547,360.29547:2, meanEMD 3.6474
INFO: Gen 0 eval_ctr 4200 config_num 27: entrances e1:360.6886,460.6886:3 e2:325.0081,425.0081:0 e3:324.44968,424.44968:0 e4:12.165479,112.16548:3, meanEMD 3.6154
INFO: Gen 0 eval_ctr 4350 config_num 28: entrances e1:245.05785,345.05786:3 e2:90.976425,190.97643:2 e3:228.4277,328.4277:2 e4:153.57784,253.57784:3, meanEMD 3.9268
INFO: Gen 0 eval_ctr 4500 config_num 29: entrances e1:211.49312,311.4931:0 e2:453.34305,553.343:3 e3:133.0357,233.0357:2 e4:332.52408,432.52408:0, meanEMD 3.8660
INFO: Gen 0 eval_ctr 4650 config_num 30: entrances e1:198.65337,298.65338:0 e2:60.584946,160.58495:1 e3:298.9144,398.9144:0 e4:171.63063,271.6306:0, meanEMD 3.7603
INFO: Gen 0 eval_ctr 4800 config_num 31: entrances e1:105.9556,205.9556:3 e2:166.71643,266.71643:0 e3:124.99639,224.9964:1 e4:105.868,205.868:3, meanEMD 3.3272
INFO: Gen 0 eval_ctr 4950 config_num 32: entrances e1:489.5153,589.51526:1 e2:457.09412,557.0941:3 e3:333.357,433.357:2 e4:239.8582,339.85822:3, meanEMD 4.0341
INFO: Gen 0 eval_ctr 5100 config_num 33: entrances e1:56.333294,156.3333:2 e2:385.74408,485.74408:1 e3:12.273689,112.27369:3 e4:55.153,155.153:2, meanEMD 3.7958
